5-Fu_28	Acitretin_29	Amoxycillin_00	Artesunate_01	Ascorbic acid_02	Ascorbic acid_30	Bosentan_03	Busulfan_04	Carbamazepine_05	Cetirizine_06	Cetirizine_31	Cyclopamine_07	Cyproheptadine_08	DAPT_10	Dabrafenib_09	Dasatinib_11	Dexamethasone_12	Dorsomorphin_13	Doxycycline_14	Hydroxyurea_15	IWP-2_19	Ibuprofen_16	Ibuprofen_32	Imatinib_17	Isotretinoin_18	Lazabemide_33	Metformin_20	Methotrexate_21	Misoprostol_34	Penicillin G_22	Progesterone_23	Retinoic acid_24	SB431542_25	Thalidomide_26	Valproic acid_27	Warfarin_35
0.0	0.9628476769529642	0.788960144943955	0.9935457906014824	0.0	0.0	1.0098368229168677	0.03535353394754875	0.03330283706148077	0.9675515582262116	0.9675515582262116	1.0132761164007003	0.8087744525372473	0.9917905075891675	0.9624027911874072	0.9959526847507946	0.9950821426616921	0.9756843689303467	0.9769431232990967	0.0	0.8750407068104882	0.2620748774875628	0.2620748774875628	1.0067526044952781	0.9640682428764681	0.0	0.0	0.9681581425356744	1.0056719810919317	0.6579320714065617	0.9822591494736084	0.9645411648840037	0.7418356121786454	0.018421327883722794	0.0	0.4280822433324447
0.0	0.9628014490036488	0.7678456282377217	0.9872053229318356	0.0	0.0	1.0089931591853951	0.034312520113526083	0.03010588442973005	0.9668883302775444	0.9668883302775444	1.013257275573809	0.8056379718633674	0.9855183535038765	0.961068342321073	0.9919619253478149	0.9947227580437936	0.9751727724843222	0.9723553311427316	0.0	0.8665465945950032	0.2570622046106662	0.2570622046106662	1.0061500228816145	0.9633076119021521	0.0	0.0	0.9678238236113945	1.0036997849675935	0.644903091116524	0.9792561552586425	0.9632421543450439	0.7235629700783985	0.017521794609005523	0.0	0.4256246193955292
0.0	0.9625713317834043	0.7371760480371904	0.9832701450254532	0.0	0.0	1.0081561484593593	0.0	0.027623519796874302	0.966139258221866	0.966139258221866	1.012995219355227	0.7773772215624627	0.9831399285700008	0.9607511547172924	0.9911570791610669	0.9944070005243459	0.9746456418521389	0.9660803216771647	0.0	0.8611502749400397	0.22696172580826246	0.22696172580826246	1.0036349479701407	0.963015423984346	0.0	0.0	0.9649606001420531	1.0027346385885516	0.6261277323483854	0.9778306402951739	0.9631747461901472	0.7076823334241173	0.01613429781198715	0.0	0.41120709246478926
0.0	0.9614389873139962	0.7229923220860014	0.9799563733138185	0.0	0.0	1.0071351635991574	0.0	0.023083743942997788	0.9656038598340845	0.9656038598340845	1.012443210894962	0.7760662559488112	0.9802230282453549	0.9606611792424756	0.9889072177586377	0.9902494382395506	0.9701023977263581	0.9634967207018874	0.0	0.8518227659075142	0.18895670905041642	0.18895670905041642	1.001403915651986	0.9629354968885859	0.0	0.0	0.9643100416090419	1.0017331074573852	0.5820564854541758	0.9772144262637491	0.9631420231462363	0.6751114710627362	0.01318666908983277	0.0	0.38661853962718606
0.0	0.9602507040619858	0.7155552437464363	0.9782401655561518	0.0	0.0	1.0051312808792816	0.0	0.020737057160272285	0.9632345380367786	0.9632345380367786	1.0118184629917015	0.7449194829859986	0.9795580544629436	0.9604709563838166	0.984295202210306	0.9889957054498686	0.9657961332686926	0.9628804353959296	0.0	0.8501917149779841	0.18459434167446634	0.18459434167446634	1.0001990355210846	0.9627268234024843	0.0	0.0	0.9629882825829446	1.000141806619527	0.5241763243768613	0.9766473718471441	0.96256437381818	0.6695359320188932	0.008302657994416181	0.0	0.3702068524756676
0.0	0.9590368139431525	0.6936826239497346	0.977848144868597	0.0	0.0	1.0050227217999699	0.0	0.017765990607238304	0.9625776881164754	0.9625776881164754	1.0113766373099369	0.7119342567275087	0.9784250574256699	0.9602921082370199	0.9788115927680823	0.98791895806856	0.9657127608235485	0.9623838629666687	0.0	0.8184085834622888	0.1766785257525288	0.1766785257525288	1.0001060989206627	0.9612241149314278	0.0	0.0	0.9625517315414931	0.9999805215659819	0.46619186010390157	0.975877513952034	0.9617222754568951	0.6413765361029777	0.0072734267075908795	0.0	0.347081075923687
0.0	0.9586781994587823	0.680281374652058	0.9775571725145453	0.0	0.0	1.003116632990998	0.0	0.014923745796358483	0.9588450746678184	0.9588450746678184	1.0087792842835672	0.6689158812575777	0.978101295654181	0.9581980548339506	0.9783036177833769	0.9813431540513047	0.9654047718884333	0.96138730627981	0.0	0.8158062922922168	0.15918671177777702	0.15918671177777702	0.9982860410306081	0.9604466091007994	0.0	0.0	0.9619902151266971	0.9979187597403351	0.4408290461263754	0.9727496680513114	0.9616342846125896	0.6260672958891379	0.0	0.0	0.3383980400861641
0.0	0.9569989148266804	0.6663893138786366	0.9753667979606969	0.0	0.0	1.0025902765426875	0.0	0.012700856505640023	0.9552163573293547	0.9552163573293547	1.0087316018293115	0.6282416628296826	0.9779656131181427	0.9466436323767149	0.9775029760606222	0.9781483058362512	0.9646903192417996	0.9604276314326453	0.0	0.8002069929939055	0.0768660921398922	0.0768660921398922	0.9977849904196456	0.9598271625241345	0.0	0.0	0.959249439377392	0.9977876883879104	0.42898628575058234	0.9665318350671981	0.9606249073453966	0.6170064101642592	0.0	0.0	0.3082550247258698
0.0	0.9548176329030419	0.658787855052264	0.9678908430080149	0.0	0.0	1.000129962087531	0.0	0.011775215005830597	0.9486618121799301	0.9486618121799301	1.008199638517612	0.5271365962258232	0.9719802802104682	0.9421737666730046	0.9747596752507297	0.9766868221516143	0.9645339211525691	0.9572726889019041	0.0	0.7945085535067649	0.07355341639025373	0.07355341639025373	0.9976233017926052	0.9597968313392228	0.0	0.0	0.9577524973708043	0.9977427891343918	0.40887298803407945	0.9654888164985628	0.9598437604293921	0.604547846706456	0.0	0.0	0.303927254700177
0.0	0.954552263214146	0.6444706109500032	0.9676341322128358	0.0	0.0	0.9981719312457601	0.0	0.009794161021499737	0.937097519273452	0.937097519273452	1.0056866562180946	0.5108909595307245	0.9685734676411496	0.9321127161214782	0.9697915540303131	0.9763705546776672	0.9643318687321645	0.9562577919926816	0.0	0.7885510091408395	0.06899777995654481	0.06899777995654481	0.9974169243299279	0.9593793691560829	0.0	0.0	0.9570576893254964	0.9976473207987696	0.39224653225841355	0.964476495672423	0.9596435857565087	0.4865140821836765	0.0	0.0	0.27810293782256346
0.0	0.954109837257394	0.6433465072434138	0.9675163011836329	0.0	0.0	0.9978805140877796	0.0	0.0	0.920229209629444	0.920229209629444	1.0044059001077128	0.4492800917060754	0.9673875205744055	0.9314190615668253	0.9669090192234685	0.9734782132278849	0.9626347124613195	0.9556760267408876	0.0	0.7790314720204254	0.06738233733520893	0.06738233733520893	0.9970898698285741	0.9590164214624821	0.0	0.0	0.9494841898309039	0.9975209486450709	0.3791750567240048	0.964317544320199	0.9585495013817393	0.4511271591982612	0.0	0.0	0.27398644618270657
0.0	0.9504600983653767	0.6178018966075554	0.964001494012648	0.0	0.0	0.9973053696792074	0.0	0.0	0.9070885100121103	0.9070885100121103	1.003941125907635	0.4365435267366047	0.9662008449875014	0.9255791307580127	0.9664233963547181	0.9720161460420433	0.9572440202553715	0.9535153381094922	0.0	0.7617256333472355	0.06628120017762558	0.06628120017762558	0.9967755127339092	0.9568376774966948	0.0	0.0	0.9311548317510954	0.9974606619078356	0.3567398989623942	0.96364784712685	0.9567842479262588	0.4296558246079528	0.0	0.0	0.26135737473983717
0.0	0.9467038802485666	0.56938539944096	0.9633908707122271	0.0	0.0	0.9970190291792105	0.0	0.0	0.8975579699394445	0.8975579699394445	1.003053831009989	0.43426236079895936	0.9627491642981464	0.9231211969370867	0.9657599705583195	0.9655908227196793	0.9532594476251293	0.9515774315886604	0.0	0.7414872107543939	0.05863436684733234	0.05863436684733234	0.9965870118567122	0.955856535481471	0.0	0.0	0.9215709255598505	0.9974367329590651	0.33015652279569296	0.9634433914028014	0.9549588370474864	0.4277837095102264	0.0	0.0	0.24481122567528144
0.0	0.9414315200051879	0.508123864868283	0.9632113061639682	0.0	0.0	0.996811982375247	0.0	0.0	0.8945973285422046	0.8945973285422046	1.002551518274591	0.4198251725962126	0.961729634341192	0.917766519662008	0.9654864604565342	0.9652114723747554	0.9449710782904277	0.9449772982309245	0.0	0.7352796181459711	0.0569694427468042	0.0569694427468042	0.9965598999123071	0.9541429974659829	0.0	0.0	0.9169163578878412	0.9974235658913823	0.3065938014785139	0.963014523388528	0.9535495487838777	0.42514945843002355	0.0	0.0	0.23298622790352339
0.0	0.9223467789040439	0.43147516241552347	0.9629707011045531	0.0	0.0	0.9967273432053013	0.0	0.0	0.8734876106604279	0.8734876106604279	0.999523899780897	0.40939855516226953	0.960893323798922	0.9068736688407198	0.9648562888064314	0.9650994517119894	0.9396639053027153	0.9413617407269755	0.0	0.7251445088660533	0.046733466808388	0.046733466808388	0.996536413012247	0.952423537110408	0.0	0.0	0.8990373204648281	0.9971948101238599	0.2990682112711075	0.9625879544051432	0.9532996446493591	0.4001396988138705	0.0	0.0	0.22010269154482048
0.0	0.910131726150845	0.4194799450099183	0.9620464768384251	0.0	0.0	0.9965831066855558	0.0	0.0	0.8663716291828159	0.8663716291828159	0.9992066590323111	0.39582133658592294	0.9605995356085	0.903947737932986	0.9629657418782761	0.9641884872826295	0.9306750838978789	0.9274374197617617	0.0	0.712309018419729	0.04454438500468098	0.04454438500468098	0.9952372730447555	0.9474195138202419	0.0	0.0	0.894579199874989	0.9971926923213862	0.2913125394333262	0.9623149258115246	0.9447545793726361	0.3741278190270011	0.0	0.0	0.2188767456685818
0.0	0.892433833762844	0.38713482496682244	0.9617295905198481	0.0	0.0	0.9963768122745985	0.0	0.0	0.8568761545117449	0.8568761545117449	0.9981317598498393	0.3670913355967583	0.9603536749244181	0.892702061070529	0.9627984404286878	0.9626986827289291	0.9290435788091022	0.9188683740261586	0.0	0.6869336734881322	0.03808589534640413	0.03808589534640413	0.9947011824958307	0.9155857820715801	0.0	0.0	0.8941993988889831	0.9971636592162885	0.2836195865166294	0.9618135165403685	0.9151457162733495	0.36862211839653264	0.0	0.0	0.21752314520318905
